Fid  | Fcalorie          | Fcarb             | Fprotein          | Ffat              | Fsodium           | Ffiber             
   1 |               120 |                 2 |                18 |                 5 |              NULL |               NULL 
   2 |               100 |                 1 |                 2 |                10 |               110 |                  0 
   3 |               150 |                30 |                 4 |                 1 |               180 |                  2 
   4 |               100 |                 0 |                 0 |                11 |                82 |                  0 
   5 |                80 |                 0 |                 7 |                 5 |                81 |                  0 
   6 |                70 |                 0 |                 6 |                 5 |                70 |                  0 
   7 |                80 |                16 |                 2 |                 2 |               160 |                  1 
   8 |                89 |                23 |                 1 |                 0 |                 1 |                3.1 
   9 |                39 |                 1 |                 1 |                 4 |                12 |                  0 
  10 |               130 |                24 |                 5 |                 2 |               250 |                  2 
  11 |                80 |                 0 |                 5 |                 6 |               120 |                  0 
  12 |                90 |                 0 |                 0 |                10 |                90 |                  0 
  13 |               390 |                37 |                24 |                16 |               790 |                  4 
  14 |               370 |                45 |                26 |                 9 |               880 |                  3 
  15 |               220 |                26 |                14 |                 6 |               790 |                  3 
  16 |               360 |                56 |                17 |                 7 |               810 |                  3 
  17 |               160 |                 6 |                30 |                 2 |               300 |                  0 
  18 |               160 |                 4 |                30 |                 3 |               230 |                  1 
  19 |                85 |                 3 |                 2 |                 7 |               400 |                1.1 
  20 |               120 |                20 |                 3 |                 4 |               160 |                  3 
  21 |               197 |                 0 |                22 |                11 |                75 |                  0 
  22 |               131 |                15 |                 6 |                 5 |               310 |                  1 
  23 |               340 |                38 |                16 |                14 |               850 |                  2 
  24 |               200 |                27 |                 3 |                 9 |                80 |                  0 
  25 |               236 |                 0 |                23 |                15 |               192 |                  0 
  26 |               328 |                 0 |                30 |                22 |               424 |                  0 
  27 |               140 |                 0 |                21 |                 6 |               444 |                  0 
  28 |               164 |                 0 |                15 |                11 |               436 |                  0 
  29 |               156 |                 1 |                25 |                 5 |                52 |                  0 
  30 |                42 |                 0 |                 6 |                 0 |               186 |                  0 
  31 |               184 |                 4 |                19 |                10 |              1440 |                  0 
  32 |               313 |                 0 |                27 |                22 |                60 |                  0 
  33 |               110 |                15 |                11 |                 0 |                55 |                  1 
  34 |                96 |                 0 |                 8 |                 6 |                91 |                  0 
  35 |               280 |                20 |                32 |                 9 |               270 |                  4 
  36 |                50 |                13 |                 0 |                 0 |                 0 |                  0 
  37 |                25 |                 0 |                 2 |                 2 |                50 |                  0 
  38 |               425 |                50 |                 5 |                22 |               570 |                  4 
  39 |               123 |                 4 |                 0 |                 0 |                 0 |                  0 
  40 |                64 |                 0 |                 0 |                 0 |              NULL |               NULL 
  42 |               240 |                 0 |                 0 |                 0 |                14 |                  0 
  43 |               170 |                18 |                 2 |                11 |                45 |                1.3 
  44 |               190 |                 0 |                21 |                12 |               300 |                  0 
  45 |               100 |                 0 |                23 |                 1 |               320 |                  0 
  46 |               170 |                24 |                20 |                 7 |               240 |                 12 
  47 |               290 |                29 |                20 |                11 |               330 |                  2 
  48 |               280 |                31 |                20 |                 9 |               200 |                  3 
  49 |               230 |                23 |                20 |                 8 |               190 |                  1 
  50 |               160 |                 8 |                 5 |                13 |                 3 |                0.9 
  51 |               180 |                 3 |                 4 |                19 |                 0 |                  2 
  52 |               130 |                33 |                 0 |                 0 |                 0 |                  3 
  55 |               127 |                29 |                 5 |                 1 |                83 |                0.4 
  56 |                70 |                 1 |                 1 |                 7 |               385 |                  0 
  57 |                30 |                 6 |                 1 |                 0 |               440 |               0.68 
  60 |               390 |                35 |                43 |                 9 |               325 |                  5 
  61 |                92 |                 0 |                 5 |                 7 |               350 |                  0 
  64 |               146 |                11 |                 8 |                 8 |                98 |                  0 
  65 |               100 |                18 |                 4 |                 1 |               420 |                  2 
  66 |                15 |                 4 |                 0 |                 0 |               165 |                  0 
  67 |                11 |                 3 |                 0 |                 0 |                 1 |                  0 
  68 |            193.62 |              6.12 |             18.38 |              9.88 |             182.5 |               NULL 
  69 |               370 |                24 |                26 |              19.5 |               591 |                  2 
  70 |               550 |                50 |                33 |                25 |               710 |                  4 
  71 |               158 |                 6 |                 1 |                 0 |               440 |               0.68 
  72 |               375 |                44 |                 7 |                20 |               403 |                  5 
  73 |               270 |                24 |              16.5 |              12.5 |               500 |                  2 
  74 |             324.5 |              31.5 |              32.5 |                 9 |             270.5 |               5.55 
  75 |               100 |                 1 |                 6 |                 8 |               395 |                  0 
  76 |                73 |                 1 |                 0 |                 7 |               197 |                  0 
  77 |                 9 |                 2 |                 1 |                 0 |                16 |                1.1 
  78 |                12 |                 3 |                 0 |                 0 |                 1 |                0.2 
  79 |               918 |              27.5 |              59.5 |              60.5 |              1549 |                  3 
  80 |               200 |                15 |                 0 |                 0 |                 0 |                  0 
  82 |               190 |                 8 |                 7 |                16 |              NULL |               NULL 
  83 |               140 |                33 |                 1 |                 0 |              NULL |               NULL 
  86 |               510 |                65 |                13 |              23.5 |               291 |                  2 
  87 |                50 |                 8 |                 2 |                 1 |              NULL |               NULL 
  88 |               200 |                42 |                 7 |                 1 |                 0 |                  2 
  89 |             459.5 |                52 |              31.5 |             13.25 |                75 |                  2 
  91 |               190 |                 0 |                11 |                16 |              NULL |               NULL 
  92 |                20 |                 5 |                 0 |                 0 |              NULL |               NULL 
  93 |               375 |                53 |              21.5 |               9.5 |               705 |                  4 
  95 |                23 |              1.24 |              0.29 |              2.08 |              NULL |               NULL 
  96 |                43 |              0.11 |              2.96 |              3.34 |              NULL |               NULL 
  97 |               469 |              31.7 |                43 |             20.84 |               749 |                0.4 
  98 |               150 |                16 |                 2 |                 8 |              NULL |               NULL 
  99 |               430 |                20 |              21.5 |                29 |               340 |                  3 
 100 |               150 |                 6 |                24 |               3.5 |               540 |                  2 
 101 |             194.5 |              17.5 |              24.5 |               3.5 |             540.5 |               3.55 
 102 |               130 |                 1 |                 1 |                12 |                 5 |                  5 
 103 |               380 |                46 |                19 |                13 |               910 |                  3 
 104 |                25 |              5.84 |              0.57 |              0.15 |                42 |                1.7 
 105 |                59 |              10.5 |              3.93 |              0.29 |               3.5 |                3.7 
 106 |                15 |              3.45 |              0.64 |              0.12 |                 2 |               1.25 
 107 |                32 |              7.16 |              1.12 |              0.24 |                 4 |                1.2 
 108 |               176 |             31.47 |             10.67 |              1.34 |                12 |                7.6 
 109 |                34 |              7.84 |                 2 |              0.13 |                 7 |                3.7 
 110 |                56 |             14.59 |              1.12 |              0.14 |                 4 |                2.1 
 111 |                33 |              6.25 |              2.69 |              0.46 |               362 |                3.6 
 112 |                84 |             13.59 |              4.21 |              2.86 |               405 |                6.5 
 113 |                82 |              21.5 |               1.8 |               0.2 |               8.2 |                6.6 
 114 |               100 |              23.9 |               1.6 |               0.4 |              13.3 |                6.5 
 115 |                47 |               6.9 |               3.8 |               1.6 |              20.8 |                5.2 
 116 |                41 |               6.8 |               5.3 |               0.5 |               126 |                4.3 
 117 |                56 |              11.1 |                 4 |               0.8 |              32.8 |                4.1 
 118 |               114 |              26.8 |               2.1 |               0.1 |              73.2 |                  4 
 119 |               159 |              36.5 |               3.6 |               0.3 |              12.1 |                3.6 
 120 |                40 |               7.4 |               4.3 |               0.4 |              25.2 |                3.6 
 121 |                34 |               7.9 |               1.1 |               0.1 |                25 |                3.1 
 122 |                51 |              11.6 |               1.6 |               0.3 |               8.5 |                3.1 
 123 |               125 |              27.1 |               4.7 |                 2 |              21.8 |                2.9 
 124 |                35 |               8.6 |               0.8 |               0.2 |                 1 |                2.5 
 125 |                22 |               5.2 |               1.1 |               0.1 |                16 |                2.2 
 126 |                27 |               5.3 |               2.1 |               0.3 |              32.1 |                2.1 
 127 |                27 |               4.8 |               2.1 |               0.6 |               5.4 |                1.8 
 128 |                22 |              4.82 |              1.08 |              0.25 |                 6 |                1.5 
 129 |                 9 |               1.9 |               0.4 |               0.1 |              51.2 |                  1 
 130 |                 8 |               1.5 |               0.6 |               0.1 |               3.8 |                  1 
 131 |               450 |                33 |                23 |                21 |              1270 |                  2 
 132 |               610 |                34 |                38 |                31 |              1910 |                  2 
 133 |               710 |                34 |                48 |                37 |              2330 |                  2 
 134 |               350 |                35 |                22 |                14 |               960 |                  1 
 135 |               500 |                36 |                38 |                24 |              1590 |                  1 
 136 |               610 |                36 |                48 |                30 |              2020 |                  1 
 137 |               590 |                59 |                37 |                22 |              2640 |                  2 
 138 |               790 |                60 |                57 |                36 |              3490 |                  2 
 139 |               760 |                51 |                44 |                42 |              2230 |                  2 
 140 |               630 |                60 |                35 |                29 |              1300 |                  4 
 141 |               590 |                56 |                40 |                24 |              1530 |                  3 
 142 |               490 |                57 |                26 |                18 |              1040 |                  4 
 143 |               410 |                36 |                25 |                19 |               870 |                  2 
 144 |               680 |                59 |                42 |                31 |              1440 |                  3 
 145 |               440 |                29 |                33 |                21 |              1210 |                  2 
 146 |               780 |                77 |                43 |                34 |              2280 |                  5 
 147 |               610 |                79 |                37 |                16 |              2040 |                  6 
 148 |               410 |                40 |                29 |                15 |              1680 |                  3 
 149 |               610 |                59 |                34 |                26 |              1840 |                  4 
 150 |               610 |                59 |                47 |                20 |              2330 |                  3 
 151 |               710 |                55 |                23 |                44 |              1360 |                  4 
 152 |               550 |                48 |                24 |                29 |              1290 |                  3 
 153 |               460 |                49 |                23 |                20 |              1440 |                  3 
 154 |               410 |                51 |                 5 |                22 |               750 |                  4 
 155 |               430 |                51 |                 4 |                24 |               220 |                  4 
 156 |               230 |                20 |                11 |                12 |               690 |                  1 
 157 |               740 |                77 |                19 |                40 |               980 |                  8 
 158 |               290 |                20 |                22 |                14 |               810 |                  1 
 159 |               310 |                34 |                13 |                13 |               960 |                  2 
 160 |               220 |                22 |                12 |                 9 |               580 |                  1 
 161 |               200 |                23 |                12 |                 6 |               590 |                  1 
 162 |               200 |                22 |                12 |                 6 |               580 |                  1 
 163 |               190 |                23 |                13 |                 6 |               740 |                  1 
 164 |               210 |                24 |                13 |                 7 |               520 |                  1 
 165 |               310 |                28 |                18 |                14 |              1010 |                  1 
 166 |               230 |                26 |                15 |                 7 |               730 |                  1 
 194 |                35 |                 9 |                 0 |                 0 |                10 |                  0 
 195 |               150 |                27 |                 5 |                 3 |                 0 |                  4 
 196 |               120 |                23 |                 4 |               1.5 |               230 |                  0 
 197 |               387 |                24 |                27 |              19.5 |               690 |                  0 
 198 |               120 |                23 |                 5 |                 3 |               160 |                  3 
 199 |               180 |                23 |                21 |                 7 |               210 |                 12 
 200 |             318.5 |                38 |                11 |              15.5 |             537.5 |                  4 
 201 |             402.5 |                62 |             11.25 |                15 |               160 |                  3 
 202 |               350 |                55 |                20 |                 5 |               840 |                  3 
 203 |               528 |                46 |              26.5 |              29.5 |               626 |                  6 
 204 |               230 |                 0 |                29 |                13 |               380 |                  0 
 205 |               180 |                24 |                20 |                 7 |               210 |                 14 
 206 |               170 |                24 |                20 |                 6 |               240 |                 15 
 207 |               150 |                28 |                 5 |                 1 |               240 |                  1 
 208 |               140 |                36 |                 0 |                 0 |               270 |                  0 
 209 |                64 |                17 |                 0 |                 0 |                 0 |                  0 
 210 |               130 |                 0 |                30 |               0.5 |                65 |                  0 
 211 |             81.64 |             15.45 |              1.32 |              1.68 |              9.42 |               5.02 
 212 |             55.38 |             11.21 |              1.22 |              0.63 |             35.78 |                  0 
 213 |             501.6 |             73.36 |             10.17 |             18.57 |            500.08 |                  0 
 214 |             66.46 |              0.02 |              9.49 |              3.15 |             38.34 |                  0 
 215 |            146.51 |             35.34 |              0.69 |              0.27 |              6.44 |               9.66 
 216 |            205.74 |             48.54 |              2.03 |              0.43 |              5.08 |              30.61 
 217 |              4.54 |              0.91 |              0.09 |              0.04 |                 0 |               0.43 
 218 |            311.08 |             24.73 |             26.83 |             11.64 |            141.68 |                  0 
 219 |            341.13 |             38.55 |             27.58 |              8.47 |            184.95 |               8.22 
 220 |            312.09 |             22.03 |             26.12 |             13.15 |            148.47 |               5.15 
 221 |            284.58 |              33.7 |             11.68 |             11.38 |            794.22 |               5.77 
 222 |            189.84 |             20.66 |              14.9 |              5.31 |            336.74 |               3.73 
 223 |            157.32 |             33.13 |              4.46 |               0.8 |            377.91 |               1.94 
 224 |            147.15 |                 0 |             31.44 |               2.4 |                99 |                  0 
 225 |            177.33 |             27.77 |               3.9 |              5.66 |            375.36 |                  2 
 226 |             77.82 |             11.67 |              0.94 |              3.18 |             38.34 |               0.62 
 227 |            103.44 |             16.67 |              1.08 |               3.6 |             92.16 |               0.62 
 228 |             111.8 |             16.84 |              1.15 |              4.45 |            116.74 |               0.18 
 229 |             117.6 |             19.35 |              0.98 |              4.04 |             169.4 |               0.28 
 230 |             121.8 |             18.69 |              1.37 |              4.63 |            105.56 |               0.56 
 231 |            104.78 |             18.05 |               1.1 |              3.14 |            150.02 |               0.31 
 232 |            105.25 |             17.04 |              1.37 |              3.52 |              98.5 |               0.72 
 233 |             100.8 |             12.28 |              1.89 |               5.1 |             84.84 |               0.59 
 234 |            307.05 |             35.06 |              6.49 |             16.05 |            463.45 |               2.76 
 235 |            126.17 |             24.01 |              1.46 |               2.7 |             235.6 |                  0 
 236 |               264 |             52.38 |             10.56 |              1.32 |               422 |                1.6 
 237 |              66.3 |             13.86 |              2.78 |              0.31 |             153.4 |               0.94 
 238 |                65 |             12.71 |              2.65 |               0.4 |            114.14 |               1.07 
 239 |              66.3 |              13.5 |              2.47 |              0.37 |            102.96 |               1.07 
 240 |                65 |             12.71 |              2.65 |               0.4 |            114.14 |               1.07 
 241 |                65 |             12.71 |              2.65 |               0.4 |            114.14 |               1.07 
 242 |               250 |             48.89 |              10.2 |              1.53 |               439 |                4.1 
 243 |                65 |             12.71 |              2.65 |               0.4 |            114.14 |               1.07 
 244 |               261 |             50.82 |              9.53 |              2.69 |               389 |                4.3 
 245 |              66.3 |              13.5 |              2.47 |              0.37 |            102.96 |               1.07 
 246 |                65 |             12.71 |              2.65 |               0.4 |            114.14 |               1.07 
 247 |                65 |             12.71 |              2.65 |               0.4 |            114.14 |               1.07 
 248 |              66.3 |              13.5 |              2.47 |              0.37 |            102.96 |               1.07 
 249 |               243 |             48.36 |              9.55 |              1.25 |               380 |                1.7 
 250 |               268 |             55.06 |              9.81 |              1.23 |               381 |                1.8 
 251 |            261.36 |             51.86 |             10.45 |              1.31 |            417.78 |               1.58 
 252 |            195.21 |             38.45 |              8.02 |                 1 |            290.79 |               5.02 
 253 |               245 |             47.91 |                10 |               1.5 |            430.22 |               4.02 
 254 |            109.65 |             23.44 |                 4 |                 0 |            159.96 |               2.02 
 255 |            333.84 |             29.27 |              5.18 |             22.72 |            262.86 |               2.03 
 256 |            252.56 |             41.11 |              4.09 |              8.53 |             71.34 |               0.66 
 257 |             103.8 |              14.4 |              2.44 |              4.08 |             272.7 |               0.36 
 258 |             220.8 |              34.2 |              3.69 |                 8 |            526.72 |               1.15 
 259 |             150.5 |             18.37 |              2.82 |              7.49 |             348.3 |               0.86 
 260 |             43.68 |              6.43 |              1.31 |              1.68 |            126.42 |                0.9 
 261 |             74.69 |             13.46 |              1.73 |              1.59 |            190.28 |                  0 
 262 |             513.6 |             76.08 |               9.6 |             18.48 |            1531.2 |               2.52 
 263 |             65.89 |              9.91 |              0.51 |              2.84 |             81.51 |               0.28 
 264 |             66.22 |             11.49 |              2.58 |               1.1 |             114.4 |               0.97 
 265 |               275 |              52.2 |              9.56 |              3.41 |               655 |                7.1 
 266 |             55.38 |              12.3 |              1.48 |              0.43 |             179.2 |               1.33 
 267 |             68.25 |             12.34 |              1.94 |              1.14 |            131.75 |               0.45 
 268 |            195.84 |             21.52 |                 5 |                10 |               360 |               1.01 
 269 |             98.56 |             10.84 |              2.52 |              5.04 |            181.28 |               0.51 
 270 |             70.84 |             12.43 |              1.97 |              1.48 |            108.64 |               0.98 
 271 |               283 |             55.21 |               6.7 |              3.81 |               317 |                1.6 
 272 |               311 |             60.67 |              7.37 |              4.19 |               349 |                1.8 
 273 |             73.84 |             14.06 |              2.47 |              1.11 |            152.79 |               1.56 
 274 |            112.18 |             20.44 |              3.79 |              1.51 |            207.89 |               1.28 
 275 |            108.77 |             19.45 |              4.01 |              1.56 |             596.4 |               1.39 
 276 |             26.91 |              5.13 |              1.06 |              0.24 |             59.58 |               0.22 
 277 |             99.32 |             11.66 |              2.09 |              4.89 |             46.28 |               0.39 
 278 |             81.51 |             13.58 |               2.7 |               1.7 |            107.92 |               0.65 
 279 |              56.7 |              9.46 |              1.88 |              1.19 |             75.24 |               0.45 
 280 |             89.46 |             14.94 |              2.98 |              1.87 |            118.43 |               0.71 
 281 |            114.72 |             23.57 |                 4 |               0.5 |               180 |               2.02 
 282 |            148.42 |             19.42 |              2.44 |              7.11 |            125.87 |               0.57 
 283 |             60.06 |             11.07 |              1.04 |              1.27 |            108.02 |               1.03 
 284 |               269 |             48.13 |              13.3 |              2.42 |               444 |                3.3 
 285 |               297 |             49.88 |              6.27 |              8.93 |               489 |                  2 
 286 |             82.36 |              15.9 |              1.87 |              1.42 |            113.03 |               0.74 
 287 |             73.56 |             13.66 |               2.7 |              0.78 |            175.51 |                0.6 
 288 |             65.04 |             12.02 |              2.11 |              0.84 |               132 |               0.77 
 289 |             65.56 |             12.11 |              2.13 |              0.85 |            132.88 |               0.77 
 290 |                70 |             13.88 |              1.74 |              0.73 |             108.5 |                0.5 
 291 |             71.53 |             14.18 |              1.78 |              0.75 |            110.86 |               0.51 
 292 |             75.26 |             12.31 |              3.79 |               1.2 |             108.2 |                2.1 
 293 |               291 |             47.63 |             14.68 |              4.65 |               419 |                8.1 
 294 |               268 |             46.92 |             12.33 |              3.85 |               344 |                  7 
 295 |               295 |             51.56 |             13.55 |              4.23 |               378 |                7.7 
 296 |             69.25 |             12.99 |              2.19 |              0.81 |               136 |               0.45 
 297 |            192.08 |             24.36 |              3.18 |              9.43 |            167.09 |               0.64 
 298 |             67.02 |              11.3 |              2.95 |              1.25 |            100.25 |               1.28 
 299 |             73.56 |             12.41 |              3.24 |              1.36 |            109.91 |               1.39 
 300 |              76.4 |             13.77 |              2.39 |              1.25 |            126.95 |               1.14 
 301 |             82.93 |             14.97 |              2.61 |              1.36 |            138.02 |               1.22 
 302 |             56.64 |              10.6 |               1.8 |               0.7 |            116.16 |               0.41 
 303 |              46.8 |              8.74 |              1.49 |              0.58 |             95.76 |               0.34 
 304 |            231.21 |             35.52 |              5.93 |               7.3 |            143.64 |               1.45 
 305 |               302 |             61.21 |                10 |              1.32 |               589 |                2.4 
 306 |              78.1 |             15.82 |              2.58 |              0.34 |            152.22 |               0.62 
 307 |               288 |             61.42 |             10.77 |              1.88 |               579 |                6.7 
 308 |               279 |             59.19 |               8.2 |              1.09 |               458 |                2.4 
 309 |               306 |             65.04 |              9.02 |               1.2 |               503 |                2.7 
 310 |             85.12 |             15.06 |                 4 |                 1 |               120 |               2.02 
 311 |             70.08 |             12.41 |               3.3 |              0.83 |             98.88 |               1.66 
 312 |             69.58 |             12.44 |              3.44 |              0.62 |            114.74 |               0.85 
 313 |             76.68 |             13.66 |              3.75 |              0.68 |             126.1 |               0.94 
 314 |                71 |             13.49 |              2.47 |              0.88 |            169.26 |               1.85 
 315 |               275 |              52.2 |              9.56 |              3.41 |               655 |                7.1 
 316 |               180 |             25.85 |               2.9 |              7.47 |             173.4 |               0.84 
 317 |            142.56 |             14.13 |              2.24 |              8.84 |              61.2 |               1.26 
 318 |               269 |              52.4 |              8.27 |              3.04 |               442 |                2.8 
 319 |             77.82 |             14.85 |              2.24 |              1.25 |             98.55 |               1.22 
 320 |             84.35 |             16.16 |              2.44 |              1.36 |            107.07 |               1.33 
 321 |               296 |             57.58 |              9.09 |              3.34 |               486 |                3.1 
 322 |             77.82 |             14.85 |              2.24 |              1.25 |            110.76 |               1.22 
 323 |             57.08 |             11.73 |              2.27 |              0.91 |            130.36 |               3.41 
 324 |             67.88 |             13.97 |               2.7 |              1.08 |            155.35 |               4.06 
 325 |             59.64 |              12.3 |              2.16 |              0.99 |            110.19 |                  0 
 326 |             57.65 |              11.5 |              2.58 |              0.82 |            145.69 |               3.41 
 327 |             61.63 |             12.06 |              3.78 |              0.83 |             94.29 |               3.15 
 328 |             58.79 |             12.58 |              2.47 |              0.71 |            136.04 |               2.75 
 329 |             69.01 |             12.35 |              2.53 |              1.31 |              76.4 |               1.39 
 330 |             74.98 |             13.43 |              2.75 |              1.42 |             82.93 |               1.51 
 331 |               273 |             50.31 |              4.74 |              5.76 |               491 |                4.7 
 332 |            311.64 |             54.65 |             10.44 |              5.68 |            495.88 |               2.16 
 333 |             80.66 |             15.08 |              2.67 |              1.02 |            188.58 |               1.82 
 334 |               258 |             42.01 |              15.4 |              3.45 |               595 |                4.4 
 335 |               284 |             46.16 |             16.92 |               3.8 |               654 |                4.8 
 336 |             292.4 |             49.53 |              6.46 |              7.38 |              13.6 |               1.61 
 337 |             49.68 |              8.94 |              3.47 |                 0 |            125.04 |               1.39 
 338 |            189.52 |             31.46 |              5.52 |              4.37 |            327.98 |               1.38 
 339 |            109.62 |             21.64 |              3.12 |              0.97 |            399.02 |               0.91 
 340 |             55.38 |              5.35 |              0.78 |              3.42 |            136.04 |               0.23 
 341 |            110.48 |             21.78 |              2.84 |              1.19 |            405.84 |               4.06 
 342 |               304 |             47.41 |              9.94 |              8.39 |               515 |                2.4 
 343 |               334 |              52.1 |             10.92 |              9.22 |               566 |                2.7 
 344 |               239 |             45.24 |               7.4 |              2.85 |               477 |                1.7 
 345 |             57.86 |             10.94 |              1.79 |              0.69 |            115.28 |               0.42 
 346 |            113.96 |              21.4 |              3.64 |               1.4 |            230.12 |               0.88 
 347 |               114 |             21.38 |              3.64 |               1.4 |               230 |               0.88 
 348 |               301 |             52.24 |             11.72 |              4.98 |               520 |                4.4 
 349 |             71.44 |             12.87 |                 5 |                 0 |            180.12 |               2.01 
 350 |              77.9 |             13.99 |              5.43 |                 0 |             195.7 |               2.17 
 351 |             88.89 |             15.84 |              3.68 |              1.21 |            170.68 |               1.33 
 352 |             66.64 |             12.29 |              2.98 |               0.6 |            133.84 |               2.58 
 353 |             62.16 |             11.05 |              2.56 |              0.82 |            113.28 |               1.06 
 354 |               262 |             48.25 |             11.71 |              2.36 |               525 |               10.1 
 355 |             60.94 |             10.32 |              3.01 |              0.85 |               110 |               1.45 
 356 |               273 |             56.31 |              7.74 |              4.07 |               488 |                6.5 
 357 |               301 |             61.88 |              8.51 |              4.47 |               536 |                7.1 
 358 |             78.95 |              14.6 |              2.39 |              1.53 |             98.26 |                1.7 
 359 |               120 |                17 |              1.97 |              5.06 |             117.6 |               0.36 
 360 |             95.76 |             12.43 |              3.41 |               3.6 |             172.2 |               0.67 
 361 |             81.12 |             12.08 |              2.82 |              2.36 |            134.94 |               0.65 
 362 |             95.76 |             12.43 |              3.41 |               3.6 |             172.2 |               0.67 
 363 |            193.44 |             39.94 |              2.07 |              3.11 |            187.72 |               0.78 
 364 |            322.63 |             27.61 |              6.73 |             20.65 |            340.34 |               1.16 
 365 |             115.3 |             13.01 |              2.33 |              5.96 |            109.06 |               0.74 
 366 |               333 |             65.27 |               4.1 |              6.99 |               392 |                0.1 
